Groups	AN	Species
fungi_mit	KC832409.1	Botryotinia fuckeliana
fungi_mit	NC_016684.1	Gigaspora margarita
fungi_mit	NC_018792.1	Cryptococcus neoformans H99
fungi_mit	NC_031346.1	Sugiyamaella lignohabitans
fungi_mit	NC_032030.1	Sungouiella intermedia
fungi_mit	NC_035155.1	Sclerotinia sclerotiorum 1980 UF-70
fungi_mit	NC_050381.1	Metschnikowia matae var. maris
fungi_mit	NC_058230.1	Auricularia auricula-judae
fungi_mit	NC_068513.1	Lentinus flexipes
fungi_mit	NC_070370.1	Stereocaulon pileatum
fungi_mit	NC_070380.1	Stereocaulon dactylophyllum
fungi_mit	NC_085455.1	Cercospora beticola
fungi_mit	NC_087780.1	Alternaria solani
fungi_mit	NW_003315039.1	Verticillium alfalfae VaMs.102
fungi_mit	NW_007361658.1	Colletotrichum graminicola M1.001
fungi_mit	NW_014040924.1	Trichosporon asahii var. asahii CBS 2479
fungi_mit	NW_025952838.1	Psilocybe cubensis
fungi_mit	NW_026776140.1	Ascochyta rabiei
fungi_mit	NW_026944021.1	Vanrija pseudolonga
fungi_mit	NW_027041892.1	Mucor velutinosus
metazoans_mit	AB008539.1	Lycodon semicarinatus
metazoans_mit	AB029616.1	Heterololigo bleekeri
metazoans_mit	AB080276.1	Varanus komodoensis contig 2
metazoans_mit	AB091772.1	Eucalanus bungii partial genome
metazoans_mit	AB091773.1	Neocalanus cristatus partial genome
metazoans_mit	AB239570.1	Mantella bernhardi partial genome
metazoans_mit	AB239573.1	Mantidactylus cf. ulcerosus partial genome
metazoans_mit	AB325874.1	Aglyptodactylus madagascariensis partial genome
metazoans_mit	AB325875.1	Laliostoma labrosum partial genome
metazoans_mit	AB325876.1	Blommersia blommersae partial genome
metazoans_mit	AB325877.1	Boehmantis microtympanum partial genome
metazoans_mit	AB325878.1	Gephyromantis klemmeri partial genome
metazoans_mit	AB325880.1	Gephyromantis pseudoasper partial genome
metazoans_mit	AB325881.1	Guibemantis liber partial genome
metazoans_mit	AB325882.1	Guibemantis tornieri partial genome
metazoans_mit	AB325885.1	Spinomantis microtis partial genome*
metazoans_mit	AB325886.1	Tsingymantis antitra partial genome
metazoans_mit	AB325887.1	Wakea madinika partial genome
metazoans_mit	AB477461.1	Phyllium giganteum partial genome
metazoans_mit	AB477462.1	Orestes mouhotii partial genome
metazoans_mit	AB477469.1	Neohirasea japonica partial genome
metazoans_mit	AB511292.1	Amolops larutensis partial genome*
metazoans_mit	AB511295.1	Rana holsti partial genome*
metazoans_mit	AF348159.1	Cephalopachus bancanus
metazoans_mit	AH014070.2	Lynx canadensis partial genome*
metazoans_mit	AH014071.2	Puma concolor partial genome*
metazoans_mit	AH015389.2	Primeuchroeus sp. partial genome
metazoans_mit	AJ871087.1	Ascaphus truei partial genome
metazoans_mit	AM236345.1	Typhlops mirus partial genome*
metazoans_mit	AM236346.1	Ramphotyphlops australis partial genome*
metazoans_mit	AM236347.1	Eunectes notaeus partial genome*
metazoans_mit	AM236349.1	Pantherophis guttatus guttatus partial genome*
metazoans_mit	AM286744.1	Eoxenos laboulbenei partial genome
metazoans_mit	AP014698.1	Mullerornis sp.
metazoans_mit	AP025453.1	Cephonodes hylas
metazoans_mit	AY016010.1	Apteryx mantelli partial genome
metazoans_mit	AY016011.1	Casuarius bennetti partial genome
metazoans_mit	AY016012.1	Crypturellus tataupa partial genome
metazoans_mit	AY228756.1	Microstomum lineare partial genome
metazoans_mit	AY228757.1	Nemertoderma westbladi partial genome
metazoans_mit	AY250707.1	Aotus trivirgatus partial genome
metazoans_mit	AY325307.1	Acanthisitta chloris partial genome
metazoans_mit	AY368231.1	Phoronis psammophila partial genome
metazoans_mit	AY648941.2	Vasdavidius concursus partial genome*
metazoans_mit	AY676201.1	Chinemys reevesi
metazoans_mit	AY728215.1	Hydromantes italicus partial genome
metazoans_mit	AY728229.1	Nototriton abscondens partial genome
metazoans_mit	AY787816.1	Perga condei partial genome
metazoans_mit	AY874540.1	Cuora aurocapitata
metazoans_mit	AY947836.1	Pseudosquilla ciliata partial genome
metazoans_mit	AY968672.1	Campanulotes bidentatus compar
metazoans_mit	BK006339.1	Drosophila mojavensis
metazoans_mit	BK006340.1	Drosophila virilis
metazoans_mit	BK006341.1	Drosophila grimshawi
metazoans_mit	BK014399.1	Phytosciara flavipes partial genome
metazoans_mit	BK014400.1	Trichosia splendens partial genome
metazoans_mit	BK059223.1	Echinogammarus berilloni partial genome
metazoans_mit	BK059224.1	Marinogammarus marinus partial genome
metazoans_mit	BK059228.1	Gammarus pulex partial genome
metazoans_mit	BK059229.1	Gammarus wautieri partial genome
metazoans_mit	BK059230.1	Crypturopus inflatus
metazoans_mit	BK059231.1	Baikalogammarus pullus partial genome
metazoans_mit	BK059232.1	Echiuropus macronychus partial genome
metazoans_mit	BK059233.1	Echinogammarus veneris partial genome
metazoans_mit	BK059234.1	Gammarus chevreuxi
metazoans_mit	BK059235.1	Pandorites podoceroides partial genome
metazoans_mit	BK059354.1	Microgale fotsifotsy partial genome
metazoans_mit	BK061398.1	Vaejovis mexicanus
metazoans_mit	BK061399.1	Konetontli acapulco
metazoans_mit	BK061400.1	Paravaejovis spinigerus
metazoans_mit	BK061401.1	Kuarapu purhepecha
metazoans_mit	BK061402.1	Androctonus australis
metazoans_mit	BK061403.1	Centruroides hentzi
metazoans_mit	BK061404.1	Centruroides sculpturatus
metazoans_mit	BK061405.1	Chihuahuanus coahuilae
metazoans_mit	CM003133.1	Sarcoptes scabiei type canis
metazoans_mit	CM003310.1	Rotylenchulus reniformis
metazoans_mit	CM010870.1	Ooceraea biroi
metazoans_mit	CM014335.1	Schistosoma bovis
metazoans_mit	CM015047.1	Drosophila innubila
metazoans_mit	CM016612.1	Calypte anna
metazoans_mit	CM016737.1	Centrocercus minimus
metazoans_mit	CM017530.1	Mamestra configurata
metazoans_mit	CM019737.2	Cristatella mucedo
metazoans_mit	CM020939.1	Hyles vespertilio
metazoans_mit	CM022150.1	Frieseomelitta varia
metazoans_mit	CM022631.1	Zerene cesonia
metazoans_mit	CM028013.1	Daphnia obtusa
metazoans_mit	CM028216.1	Benedenia humboldti
metazoans_mit	CM030612.1	Sesamia nonagrioides
metazoans_mit	CM034476.1	Fragariocoptes setiger
