AN	GI	Species	Genome_length	ncbi_name	ncbi_taxid
BK016277.1	2171421298	Cuscuta campestris 	275898	Cuscuta campestris	132261
BK059197.1	2240494300	Cuscuta australis contig1 	125641	Cuscuta australis	267555
BK059198.1	2240494315	Cuscuta australis contig2 	38064	Cuscuta australis	267555
BK059199.1	2240494321	Cuscuta australis contig3 	32099	Cuscuta australis	267555
BK059200.1	2240494326	Cuscuta australis contig4 	30108	Cuscuta australis	267555
BK059201.1	2240494331	Cuscuta australis contig5 	26467	Cuscuta australis	267555
BK059236.1	2206415704	Convolvulus arvensis 	312437	Convolvulus arvensis	4123
BK059237.1	2206415744	Cuscuta epilinum 	401461	Cuscuta epilinum	186060
BK059238.1	2206415783	Cuscuta europaea 	406647	Cuscuta europaea	41803
BK059240.1	2206415663	Ipomoea trifida chromosome 1 	139596	Ipomoea trifida	35884
BK059241.1	2206415684	Ipomoea trifida chromosome 2 	116394	Ipomoea trifida	35884
BK059242.1	2206415860	Ipomoea triloba chromosome 1 	160302	Ipomoea triloba	35885
BK059243.1	2206415892	Ipomoea triloba chromosome 2 	44920	Ipomoea triloba	35885
BK059244.1	2206415898	Ipomoea triloba chromosome 3 	29927	Ipomoea triloba	35885
BK059358.1	2445457009	Phoenix roebelenii 	482735	Phoenix roebelenii	446125
EU365401.1	164422210	Bambusa oldhamii 	509941	Bambusa oldhamii	58923
JF338144.1	327176861	Selaginella moellendorffii mitochondrion part 2	143606	Selaginella moellendorffii	88036
JF729202.1	339773281	Arabidopsis thaliana ecotype Landsberg erecta 	345418	Arabidopsis thaliana	3702
JF750578.1	346228138	Silene conica chromosome 19 	110652	Silene conica	39875
JX999996.1	472833546	Lolium perenne 	678580	Lolium perenne	4522
KC189947.1	442803095	Vicia faba 	588000	Vicia faba	3906
KF442616.1	553836868	Eruca vesicaria subsp. sativa 	247696	Eruca vesicaria subsp. sativa	29727
KF754801.1	557954272	Amborella trichopoda chromosome III 	187116	Amborella trichopoda	13333
KF754803.1	557954279	Amborella trichopoda chromosome I 	3179272	Amborella trichopoda	13333
KJ461445.1	620598306	Brassica juncea var. tumida 	219919	Brassica juncea var. tumida	323352
KJ820683.1	655168414	Brassica oleracea var. botrytis 	219962	Brassica oleracea var. botrytis	3715
KM207678.1	756762080	Nicotiana tabacum/Hyoscyamus niger cybrid clone contig1 	270466	Nicotiana tabacum/Hyoscyamus niger cybrid	1520274
KM207682.1	756762135	Nicotiana tabacum/Hyoscyamus niger cybrid clone contig5 	30887	Nicotiana tabacum/Hyoscyamus niger cybrid	1520274
KM873610.1	745748929	Orthotrichum rogeri 	104634	Orthotrichum rogeri	1592803
KR534606.1	939462352	Malus hupehensis var. mengshanensis 	422555	Malus hupehensis var. mengshanensis	550789
KR817582.1	910266076	Aneura pinguis	165005	Aneura pinguis	39026
KT022222.1	829581281	Viscum scurruloideum chromosome 1	42186	Viscum scurruloideum	1664545
KT022223.1	829581299	Viscum scurruloideum chromosome 2	23687	Viscum scurruloideum	1664545
KT326816.1	929524724	Chionoloma tenuirostre 	105001	Chionoloma tenuirostre	301336
KT988071.2	1020913963	Schrenkiella parvula 	255773	Schrenkiella parvula	98039
KU140427.1	991820460	Aneura pinguis	164047	Aneura pinguis	39026
KU831325.1	1080112412	Brassica oleracea var. capitata 	219975	Brassica oleracea var. capitata	3716
KU992323.1	1142819667	Lophophytum mirabile subsp. bolivianum chromosome LmContig2 	30072	Lophophytum mirabile subsp. bolivianum	1813629
KU992329.1	1142819677	Lophophytum mirabile subsp. bolivianum chromosome LmContig8 	16418	Lophophytum mirabile subsp. bolivianum	1813629
KX270756.1	1043393954	Cynomorium coccineum chromosome Ccoc839 	25654	Cynomorium coccineum	51503
KX270771.1	1043393982	Cynomorium coccineum chromosome Ccoc3090 	19525	Cynomorium coccineum	51503
KX270773.1	1043393985	Cynomorium coccineum chromosome Ccoc3422 	22477	Cynomorium coccineum	51503
KX270781.1	1043394004	Cynomorium coccineum chromosome Ccoc5829 	17735	Cynomorium coccineum	51503
KX270788.1	1043394019	Cynomorium coccineum chromosome Ccoc8479 	29529	Cynomorium coccineum	51503
KX578030.1	1070067351	Orthotrichum gymnostomum 	104638	Nyholmiella gymnostoma	478072
KX578033.1	1070067474	Plenogemma phyllantha 	104671	Plenogemma phyllantha	67002
KX702279.1	1090893494	Orthotrichum obtusifolium 	104603	Nyholmiella obtusifolia	61564
KY702722.1	1220104925	Aneura pinguis	165857	Aneura pinguis	39026
KY702723.1	1220104966	Aneura pinguis	167033	Aneura pinguis	39026
MF070086.1	1357241114	Gastrodia elata chromosome ge3 	85046	Gastrodia elata	91201
MF070087.1	1357241119	Gastrodia elata chromosome ge4 	74858	Gastrodia elata	91201
MF070090.1	1357241127	Gastrodia elata chromosome ge7 	410335	Gastrodia elata	91201
MF070100.1	1357241157	Gastrodia elata chromosome ge17 	120640	Gastrodia elata	91201
MF070101.1	1357241161	Gastrodia elata chromosome ge18 	34580	Gastrodia elata	91201
MF401632.1	1241187917	Calypogeia fissa subsp. fissa 	162175	Calypogeia fissa subsp. fissa	1263429
MF611849.1	1468711699	Cynanchum wilfordii chromosome 3 	111332	Cynanchum wilfordii	228709
MF611850.1	1465956587	Fallopia multiflora chromosome 1	200352	Fallopia multiflora	76025
MF611851.1	1465956611	Fallopia multiflora chromosome 2 	112098	Fallopia multiflora	76025
MG372115.1	1297073213	Chionanthus rupicola	667135	Chionanthus rupicola	2057972
MG372116.1	1297073893	Olea europaea subsp. Cuspidata	710338	Olea europaea subsp. cuspidata	129566
MG372119.1	1297084160	Olea europaea subsp. Europaea	769995	Olea europaea subsp. europaea	158383
MG372120.1	1297086751	Olea europaea subsp. Guanchica	694631	Olea europaea subsp. guanchica	158384
MG372121.1	1297087367	Olea europaea subsp. Laperrinei	710688	Olea europaea subsp. laperrinei	129567
MG429050.1	1321659731	Oryza coarctata 	491065	Oryza coarctata	77588
MG947208.1	1538979891	Cucumis melo var. momordica chromosome 2 	149556	Cucumis melo var. momordica	2034244
MH591794.1	2272020596	Gastrodia angusta chromosome GS1 	134652	Gastrodia angusta	2939659
MH591805.1	2272020624	Gastrodia angusta chromosome GS2 	120881	Gastrodia angusta	2939659
MH591825.1	2272020657	Gastrodia angusta chromosome GS5 	82286	Gastrodia angusta	2939659
MH591826.1	2272020659	Gastrodia angusta chromosome GS6 	61810	Gastrodia angusta	2939659
