AN	GI	Species	Genome_length	ncbi_name	ncbi_taxid
NC_058606.1	2127861552	Nymphalis canace 	15216	Nymphalis canace	171589
NC_058607.1	2127861566	Caerulea coeligena 	15164	Caerulea coeligena	1002892
NC_058609.1	2129650019	Callerebia polyphemus 	15156	Callerebia polyphemus	442007
AB026193.1	7416017	Ciconia boyciana	17622	Ciconia boyciana	52775
AB026818.1	7416033	Ciconia ciconia	17347	Ciconia ciconia	8928
AB028238.1	1952965013	Valvata hokkaidoensis	15738	Valvata hokkaidoensis	96458
AB043889.1	14278901	Pelophylax nigromaculatus	17804	Pelophylax nigromaculatus	8409
AB080237.1	121309333	Takydromus tachydromoides 	18245	Takydromus tachydromoides	118850
AB126005.1	50511286	Orthetrum triangulare melania nearly complete genome	14033	Orthetrum melania	257707
AB127977.1	47604867	Buergeria buergeri	19959	Buergeria buergeri	191197
AB176924.1	1373811694	Callopistes maculatus nearly complete genome	15861	Callopistes maculatus	271259
AB185327.1	121309431	Varanus niloticus 	18511	Varanus niloticus	62046
AB201256.1	90265606	Balaenoptera omurai	16404	Balaenoptera omurai	255217
AB201258.1	90265634	Balaenoptera edeni	16409	Balaenoptera edeni	9769
AB218720.1	239735146	Oplurus grandidieri 	17122	Oplurus grandidieri	332245
AB218883.1	239735160	Basiliscus vittatus 	16948	Basiliscus vittatus	211979
AB218884.1	239735174	Gambelia wislizenii 	17563	Gambelia wislizenii	43593
AB218960.1	239735188	Anolis cybotes nearly complete genome	17853	Anolis cybotes	38891
AB262447.2	293651479	Pseudotrapelus sinaitus 	16560	Pseudotrapelus sinaitus	118229
AB266452.1	296840983	Acanthosaura armata 	16544	Acanthosaura armata	285987
AB266739.1	239735216	Leiocephalus personatus 	16681	Leiocephalus personatus	211984
AB266748.1	239735230	Chalarodon madagascariensis 	16851	Chalarodon madagascariensis	44147
AB286049.1	194247742	Propithecus verreauxi coquereli	17104	Propithecus coquereli	379532
AB291075.1	152962733	Meles meles anakuma nearly complete genome	16492	Meles anakuma	191034
AB291076.1	152962747	Martes melampus nearly complete genome	16498	Martes melampus	36721
AB291077.1	152962761	Enhydra lutris	16431	Enhydra lutris	34882
AB297804.1	130381970	Procyon lotor	16623	Procyon lotor	9654
AB300501.1	182441066	Ascoschoengastia sp.	16067	Ascoschoengastia sp. TATW-1	436354
AB303949.1	164454411	Hyla japonica	19519	Dryophytes japonicus	109175
AB371085.1	238809257	Daubentonia madagascariensis	16648	Daubentonia madagascariensis	31869
AB474915.1	296531224	Calumma parsonii 	17497	Calumma parsonii	179907
AB474918.1	296531266	Rieppeleon kerstenii nearly complete genome	17982	Rieppeleon kerstenii	338557
AB477470.1	310941257	Sipyloidea sipylus	17001	Sipyloidea sipylus	202427
AB537553.1	731168233	Leiolepis reevesii rubritaeniata 	16052	Leiolepis rubritaeniata	3146766
AB537554.1	731168247	Leiolepis belliana belliana 	16109	Leiolepis belliana belliana	181672
AB537555.1	731168261	Leiolepis boehmei 	16106	Leiolepis boehmei	666331
AB595189.1	328750553	Paracorallium japonicum	18913	Corallium japonicum	536042
AB595190.1	328750568	Pleurocorallium konojoi	18969	Pleurocorallium konojoi	2518304
AB610503.1	397174532	Hemitheconyx taylori nearly complete genome	16363	Hemitheconyx taylori	449390
AB612270.1	1952944269	Pachydactylus punctatus 	17475	Pachydactylus punctatus	185352
AB612272.1	1952944297	Paroedura masobe nearly complete genome	18197	Paroedura masobe	347812
AB612274.1	2221827886	Ptenopus garrulus nearly complete genome	17319	Ptenopus garrulus	983876
AB618487.1	359804100	Dugesia japonica	17799	Dugesia japonica	6161
AB639034.1	379698155	Aposthonia japonica nearly complete genome	18305	Aposthonia japonica	911381
AB661662.1	1952944329	Gehyra marginata 	16588	Gehyra marginata	1074251
AB675080.1	384228899	Uroteuthis edulis (Loligo edulis forma kensaki)	17360	Uroteuthis edulis	55720
AB675081.1	384228913	Uroteuthis edulis (Loligo edulis forma budo)	17351	Uroteuthis edulis	55720
AB700135.1	557356725	Pleurocorallium elatius	18970	Pleurocorallium elatius	2518303
AB729113.1	464096850	Scapharca broughtonii	46985	Anadara broughtonii	148819
AB735678.1	520958127	Chionoecetes japonicus pacificus	15341	Chionoecetes japonicus pacificus	497819
AB738943.1	2221827928	Diplodactylus vittatus nearly complete genome	16070	Diplodactylus vittatus	95112
AB738944.1	723586464	Tropiocolotes steudneri	15863	Tropiocolotes steudneri	401551
AB738946.1	1952944363	Haemodracon trachyrhinus nearly complete genome	17729	Haemodracon trachyrhinus	1216929
AB738951.1	2221827942	Lucasium damaeum nearly complete genome	16791	Lucasium damaeum	453858
AB738952.1	723586506	Stenodactylus petrii	18672	Stenodactylus petrii	401535
AB738953.1	1200858698	Homonota fasciata nearly complete genome	16590	Homonota fasciata	401549
AB738954.1	1190657663	Dibamus bogadeki nearly complete genome	15472	Dibamus bogadeki	1216931
AB738956.1	1952944397	Scincus scincus	17075	Scincus scincus	155317
AB738957.1	1952944413	Varanus exanthematicus	17287	Varanus exanthematicus	8557
AB738958.1	1952944431	Elaphe quadrivirgata	17169	Elaphe quadrivirgata	86195
AB863014.1	817254232	Ursus thibetanus japonicus	16748	Ursus thibetanus japonicus	378754
AB970731.1	1206250406	Peltocephalus dumerilianus	16601	Peltocephalus dumerilianus	329145
AB980996.1	974000770	Varanus salvator komaini	17715	Varanus salvator komaini	735375
AF106038.1	4406269	Raja radiata 	16783	Amblyraja radiata	386614
AF270939.1	12328587	Heterodoxus macropus 	14670	Heterodoxus macropus	145266
AF335993.2	24762254	Thrips imaginis 	15407	Thrips imaginis	159957
AF466146.2	1669398611	Melipona bicolor 	15001	Melipona bicolor	60889
AJ001562.1	3127895	Myoxus glis	16602	Glis glis	41261
AJ222767.1	5679797	Cavia porcellus	16801	Cavia porcellus	10141
AJ277029.2	29788163	Physeter macrocephalus	16428	Physeter macrocephalus	9755
AJ309865.1	13940417	Macaca sylvanus	16586	Macaca sylvanus	9546
AJ309866.1	13940255	Cebus albifrons	16554	Cebus albifrons	9514
AJ310140.1	16026852	Chimaera monstrosa	18580	Chimaera monstrosa	7871
AJ416891.1	40644192	Spalax ehrenbergi	16408	Nannospalax ehrenbergi	30637
AJ421450.1	21425525	Tamandua tetradactyla	16395	Tamandua tetradactyla	48850
AJ421451.1	21425353	Lemur catta	17036	Lemur catta	9447
AJ421452.1	21425367	Macroscelides proboscideus	16641	Macroscelides proboscideus	29082
AJ421471.1	21425393	Lepus europaeus	17734	Lepus europaeus	9983
AJ421723.1	17826747	Dugong dugon	16850	Dugong dugon	29137
AJ428576.2	32440909	Odobenus rosmarus rosmarus 	16565	Odobenus rosmarus rosmarus	62698
AJ428849.1	21425438	Cynocephalus variegatus	16748	Galeopterus variegatus	482537
AJ428947.1	37496461	Tapirus terrestris	16776	Tapirus terrestris	9801
AJ554051.1	38602417	Balaena mysticetus 	16390	Balaena mysticetus	27602
AJ554054.1	38602459	Balaenoptera acutorostrata 	16417	Balaenoptera acutorostrata	9767
AJ554055.1	38602473	Kogia breviceps 	16406	Kogia breviceps	27615
AJ554056.1	38602487	Hyperoodon ampullatus 	16346	Hyperoodon ampullatus	48744
AJ554057.1	38602501	Berardius bairdii 	16346	Berardius bairdii	48742
AJ554058.1	38602515	Platanista minor 	16324	Platanista minor	48752
AJ554059.1	38602529	Inia geoffrensis 	16588	Inia geoffrensis	9725
AJ554060.1	38602543	Pontoporia blainvillei 	16593	Pontoporia blainvillei	48723
AJ554061.1	38602557	Lagenorhynchus albirostris 	16393	Lagenorhynchus albirostris	27610
AJ554063.1	38602585	Phocoena phocoena 	16382	Phocoena phocoena	9742
AJ639865.1	54019657	Zaglossus bruijni	16367	Zaglossus bruijni	33543
AJ716204.2	68161859	Mesobuthus gibbosus	15983	Mesobuthus gibbosus	123226
AM181017.1	115344829	Zalophus californianus	16677	Zalophus californianus	9704
AM181018.1	115344843	Arctocephalus pusillus 	16652	Arctocephalus pusillus	37191
AM181019.1	115344857	Phocarctos hookeri	16722	Phocarctos hookeri	34888
AM181020.1	115344871	Neophoca cinerea 	16736	Neophoca cinerea	161930
AM181021.1	115344885	Arctocephalus townsendi 	16571	Arctocephalus townsendi	161921
AM181022.1	115344899	Monachus schauinslandi 	16754	Neomonachus schauinslandi	29088
AM181023.1	115344913	Mirounga leonina 	16970	Mirounga leonina	9715
AM181024.1	115344927	Lobodon carcinophaga 	16759	Lobodon carcinophaga	101849
AM181026.1	115344955	Hydrurga leptonyx 	16602	Hydrurga leptonyx	29086
AM181027.1	115344969	Erignathus barbatus 	16705	Erignathus barbatus	39304
AM181028.1	115344983	Cystophora cristata 	16952	Cystophora cristata	39293
AM181029.1	115344997	Phoca fasciata	16694	Phoca fasciata	39088
AM181030.1	115345011	Pagophilus groenlandicus 	16551	Phoca groenlandica	39089
