AN	GI	Species	Genome_length	ncbi_name	ncbi_taxid
AJ271079.4	994077805	Oenothera elata subsp. hookeri	165899	Oenothera elata subsp. hookeri	85636
AP014691.1	821577399	Vigna radiata var. radiata	151281	Vigna radiata var. radiata	3916
AP014692.1	821577480	Vigna radiata var. sublobata	151283	Vigna radiata var. sublobata	87084
AP018716.1	1479942400	Ophrys fusca subsp. Iricolor	150177	Ophrys fusca subsp. iricolor	420675
AP018717.1	1479942488	Ophrys sphegodes	146754	Ophrys sphegodes	145953
AP018899.1	1550197372	Afrocarpus gracilior	134317	Afrocarpus gracilior	165205
AP018902.1	1550198625	Lepidothamnus intermedius	130343	Lepidothamnus intermedius	224738
AP018904.1	1550199452	Phyllocladus aspleniifolius	136466	Phyllocladus aspleniifolius	120602
AP019624.1	1842103279	Nicotiana tabacum	161907	Nicotiana tabacum	4097
BK010724.1	1708596024	Firmiana colorata 	160700	Firmiana colorata	1679331
BK010737.1	1870968546	Nicotiana knightiana 	155963	Nicotiana knightiana	118699
BK010738.1	1870968638	Nicotiana rustica 	155850	Nicotiana rustica	4093
BK010739.1	1870968725	Nicotiana obtusifolia 	156022	Nicotiana obtusifolia	200316
BK010740.1	1870968813	Nicotiana glauca 	155917	Nicotiana glauca	4090
BK010741.1	1870968902	Nicotiana paniculata 	155689	Nicotiana paniculata	62141
BK010847.2	1865615594	Withania adpressa 	154364	Withania adpressa	2201923
BK010849.2	1865618726	Withania riebeckii 	154162	Withania riebeckii	126909
BK013127.1	2054237069	Blumea balsamifera 	151176	Blumea balsamifera	313920
BK013128.1	2054237155	Blumea oxyodonta 	150997	Blumea oxyodonta	441187
BK013129.1	2054237241	Blumea tenella 	150829	Blumea tenella	196009
BK059210.1	2090491198	Flueggea virosa	158075	Flueggea virosa	283121
BK059221.1	2240202290	Cuscuta australis 	85263	Cuscuta australis	267555
BK059222.1	2240202352	Cuscuta campestris 	86749	Cuscuta campestris	132261
BK059531.1	2437064454	Melia dubia 	171956	Melia dubia	43709
BK059532.1	2209135373	Angelica sinensis 	142525	Angelica sinensis	165353
BK059899.1	2209135476	Semenovia thomsonii 	142089	Semenovia thomsonii	691185
BK061153.1	2388974441	Carya aquatica 	160763	Carya aquatica	1040642
BK061154.1	2388974614	Carya cordiformis 	160796	Carya cordiformis	139928
BK061155.1	2388974767	Carya dabieshanensis 	160037	Carya dabieshanensis	2528811
BK061156.1	2388974934	Carya glabra 	160652	Carya glabra	13403
BK061157.1	2388975091	Carya laciniosa 	160771	Carya laciniosa	1370058
BK061158.1	2388975259	Carya myristiciformis 	160788	Carya myristiciformis	139929
BK061159.1	2388975426	Carya ovata 	160727	Carya ovata	60418
BK061160.1	2388975597	Carya palmeri 	160604	Carya palmeri	2044477
BK061161.1	2388975756	Carya texana 	160745	Carya texana	1370061
BK061162.1	2388975958	Carya tomentosa 	160784	Carya tomentosa	91227
BK061167.1	2442292298	Vaccinium corymbosum	186057	Vaccinium corymbosum	69266
BK061352.1	2282761007	Mezobromelia capituligera 	157543	Mezobromelia capituligera	1908559
BK061353.1	2282761096	Racinaea ropalocarpa 	157046	Racinaea ropalocarpa	294027
BK062833.1	2432615521	Tapheocarpa calandrinioides	160483	Commelina calandrinioides	3233250
BK062834.1	2432615607	Pollia condensata	164410	Pollia condensata	997074
BK062835.1	2432615692	Polyspatha paniculata	161052	Polyspatha paniculata	2807302
HF677508.1	525312436	Musa acuminata subsp. malaccensis	169972	Musa acuminata subsp. malaccensis	214687
HM173080.1	296399203	Selaginella moellendorffii 	143775	Selaginella moellendorffii	88036
HM596071.1	302024914	Tiedemannia filiformis subsp. greenmannii 	154737	Tiedemannia filiformis subsp. greenmannii	434743
JN662489.1	350996405	Datura stramonium	155940	Datura stramonium	4076
JQ067650.2	543383027	Arbutus unedo 	150897	Arbutus unedo	84005
JQ248601.1	374304755	Vaccinium macrocarpon 	176037	Vaccinium macrocarpon	13750
JX087681.1	392841404	Corallorhiza striata var. vreelandii 	137505	Corallorhiza striata var. vreelandii	459593
JX280391.2	1865334668	Magnolia acuminata var. acuminata	159815	Magnolia acuminata var. acuminata	86774
JX880022.1	410176134	Origanum vulgare subsp. vulgare 	151935	Origanum vulgare subsp. vulgare	1183238
KC912692.1	521301327	Triticum monococcum subsp. aegilopoides	113606	Triticum monococcum subsp. aegilopoides	52163
KC968976.1	523706668	Alstroemeria aurea 	155510	Alstroemeria aurea	56742
KF241982.1	543174031	Medicago truncatula f. tricycla 	123355	Medicago truncatula f. tricycla	304102
KF359903.1	554516060	Oryza glaberrima 	134661	Oryza glaberrima	4538
KF359920.1	554517556	Oryza granulata 	135942	Oryza meyeriana var. granulata	110450
KF753631.1	573014874	Acer buergerianum subsp. ningpoense 	156911	Acer buergerianum subsp. ningpoense	1442572
KF769142.1	576597418	Fritillaria unibracteata var. wabuensis 	151009	Fritillaria unibracteata var. wabuensis	744039
KF951065.1	584297161	Chionographis japonica 	154646	Chionographis japonica	119999
KJ123753.1	608608760	Rhazya stricta 	154736	Rhazya stricta	396313
KJ614404.1	667753810	Aegilops speltoides var. ligustica	135660	Aegilops speltoides var. ligustica	58532
KJ614406.1	667753976	Aegilops speltoides var. speltoides	135652	Aegilops speltoides var. speltoides	1525191
KJ806279.1	667670495	Camellia sinensis var. dehungensis 	157110	Camellia sinensis var. dehungensis	1523627
KM057376.1	723430576	Berberis amurensis var. quelpaertensis 	166630	Berberis amurensis var. quelpaertensis	258143
KM057377.1	723430671	Berberis amurensis var. latifolia 	166645	Berberis amurensis var. latifolia	258142
KM244735.1	727354564	Neuwiedia singapureana 	162174	Neuwiedia zollingeri var. singapureana	1088843
KM352501.1	699975982	Triticum turgidum subsp. durum	135948	Triticum turgidum subsp. durum	4567
KM360047.1	704001763	Lasthenia burkei 	150944	Lasthenia burkei	149439
KM652489.1	731443615	Clematis fusca var. coreana	159609	Clematis fusca var. coreana	1582009
