AN	GI	Species	Genome_length	ncbi_name	ncbi_taxid
KR026340.1	827520897	Pediastrum duplex	53560	Pediastrum duplex	3105
KT259054.1	930616964	Sphaeropleales sp.	52490	Sphaeropleales sp. YC001	1715688
KX232644.1	1042780665	Tetrabaena socialis 	27751	Tetrabaena socialis	47790
KX306822.1	1052423749	Rhexinema sarcinoideum 	85108	Rhexinema sarcinoideum	43261
KX306823.1	1052423788	Gloeotilopsis planctonica 	105236	Gloeotilopsis planctonica	34157
KY629615.1	1229242250	Chlorella heliozoae 	62477	Chlorella heliozoae	554066
KY629619.1	1229242476	Micractinium conductrix 	74708	Micractinium conductrix	554055
KY984063.1	1335807564	Coelastrum sp.	52888	Coelastrum sp. F187	2069611
MF197534.1	1358957552	Prototheca bovis	39222	Prototheca bovis	2509265
MG552670.1	1292999378	Picochlorum sp. 'soloecismus'	38672	Picochlorum sp. 'soloecismus'	2053932
MH161346.1	1851762598	Eudorina elegans 	26986	Eudorina elegans	47282
MN431473.1	1861679624	Pandorina colemaniae	18569	Pandorina colemaniae	47786
MN431475.1	1861679643	Colemanosphaera angeleri	17343	Colemanosphaera angeleri	1454018
MN528476.1	2058350243	Chlamydomonas incerta	17613	Chlamydomonas incerta	51695
MN528477.1	2058350302	Chlamydomonas schloesseri	21866	Chlamydomonas schloesseri	2026947
MN642622.1	1825511251	Trebouxia sp.	99907	Trebouxia sp. A1-2	2608996
MN649871.1	1782128354	Micractinium pusillum	70061	Micractinium pusillum	126839
MN662311.1	1778215521	Prasinophyte sp.	37590	prasinophyte sp. MBIC10622	156113
MN810331.1	1841182877	Bulbochaete rectangularis var. hiloensis 	70171	Bulbochaete rectangularis var. hiloensis	55990
MN810332.1	1841182902	Stigeoclonium helveticum 	46765	Stigeoclonium helveticum	55999
MN894286.1	1834420504	Micractinium singularis	75931	Micractinium singularis	2607981
MW435181.1	2074364833	Oedogonium sp.	110880	Oedogonium sp. 269	2864376
NC_001613.1	11497452	Prototheca wickerhamii 	55328	Prototheca wickerhamii	3111
NC_002254.1	11467911	Tetradesmus obliquus	42781	Tetradesmus obliquus	3088
NC_005926.1	49147156	Pseudendoclonium akinetum 	95880	Tupiella akineta	160070
NC_008239.1	110225635	Nephroselmis olivacea 	45223	Nephroselmis olivacea	31312
NC_008256.1	110816043	Oltmannsiellopsis viridis 	56761	Oltmannsiellopsis viridis	51324
NC_008290.1	113170473	Ostreococcus tauri 	44237	Ostreococcus tauri	70448
NC_010357.1	169142681	Polytomella capuana 	12998	Polytomella capuana	351368
NC_012643.1	229315892	Micromonas sp.	47425	Micromonas commoda	296587
NC_013472.1	267857462	Polytomella sp. chromosome 1	13004	Polytomella piriformis	351366
NC_015316.1	327195223	Coccomyxa sp.	65497	Coccomyxa subellipsoidea C-169	574566
NC_016916.1	377810561	Polytomella parva chromosome 1	13135	Polytomella parva	51329
NC_017841.1	386800430	Helicosporidium sp. ex Simulium jonesi 	49343	Helicosporidium sp. ex Simulium jonesi	145475
NC_018568.1	409052422	Trebouxiophyceae sp.	74423	Trebouxiophyceae sp. MX-AZ01	1208065
NC_021108.1	484759758	Pleodorina starrii 	20375	Pleodorina starrii	330485
NC_022797.1	563940183	Monomastix sp.	60883	Monomastix sp. OKE-1	141716
NC_022862.1	563940464	Microspora stagnorum	87405	Microspora stagnorum	163317
NC_023091.1	568244880	Polytomella magna 	24370	Polytomella magna	353565
NC_023273.1	571069183	Bathycoccus prasinos 	43614	Bathycoccus prasinos	41875
NC_024626.1	671743011	Chlorella sorokiniana	52528	Chlorella sorokiniana	3076
NC_024755.1	674840664	Bracteacoccus aerius	47158	Bracteacoccus aerius	50041
NC_024756.1	674840682	Bracteacoccus minor	45175	Bracteacoccus minor	50037
