AN	GI	Species	Genome_length	ncbi_name	ncbi_taxid
AP019006.1	1510891034	Stropharia rugosoannulata	60551	Stropharia rugosoannulata	68746
AP024468.1	2004920984	Aspergillus pseudoviridinutans	29700	Aspergillus pseudoviridinutans	1517512
AP028211.1	2523907195	Cutaneotrichosporon cavernicola	40463	Cutaneotrichosporon cavernicola	279322
AP028246.1	2523938238	Cutaneotrichosporon sp.	42028	Cutaneotrichosporon sp. HIS471	3040995
AP028247.1	2523938254	Cutaneotrichosporon spelunceum	42135	Cutaneotrichosporon spelunceum	1672016
AY376688.1	34538652	Crinipellis perniciosa	109103	Moniliophthora perniciosa	153609
HF558455.1	508078582	Rhodotorula taiwanensis	40392	Rhodotorula taiwanensis RS1	1246992
HF558646.1	459351451	Malassezia sympodialis	38622	Malassezia sympodialis ATCC 42132	1230383
HQ616673.1	314911718	Pichia angusta	41719	Ogataea polymorpha	460523
JQ236859.1	373446432	Dipodascus magnusii 	42757	Magnusiomyces magnusii	43963
JQ346808.1	380714936	Aspergillus fumigatus	31765	Aspergillus fumigatus	746128
JX271275.1	400177401	Agaricus bisporus var. bisporus	135005	Agaricus bisporus var. bisporus H97	936046
KF591215.1	584594530	Rhizophagus sp. chromosome 1	29078	Rhizophagus sp. DAOM 213198	1417302
KR809877.1	909719411	Mucor circinelloides f. lusitanicus	31831	Mucor lusitanicus	29924
KU920681.1	1103536012	Nakaseomyces nivariensis	28524	Nakaseomyces nivariensis	418086
KU920682.1	1103536470	Nakaseomyces bracarensis	46138	Nakaseomyces bracarensis	273131
KX657746.1	1073524319	Saccharomyces kudriavzevii	80588	Saccharomyces kudriavzevii	114524
KX657747.1	1073524334	Saccharomyces mikatae	85211	Saccharomyces mikatae	114525
KY245891.1	1150563338	Thelephora ganbajun	52857	Thelephora ganbajun	370292
KY989226.1	1278119797	Naumovozyma castellii	27282	Naumovozyma castellii	27288
LC506577.1	1931964647	Rhizophagus clarus	50449	Rhizophagus clarus	94130
LC532387.1	1825979593	Zygosaccharomyces siamensis	21549	Zygosaccharomyces siamensis	1074906
LC565488.1	2117662309	Lepista sordida	57375	Collybia sordida	123925
LC602355.1	2004922120	Aspergillus udagawae	28860	Aspergillus udagawae	91492
LC604067.1	2004922140	Aspergillus viridinutans	32644	Aspergillus viridinutans	75553
LC612919.1	2004922166	Aspergillus lentulus	32412	Aspergillus lentulus	293939
LC659289.1	2130544335	Entomortierella parvispora	66033	Entomortierella parvispora	205924
