AN	GI	Species	Genome_length	ncbi_name	ncbi_taxid
AB624357.1	425702983	Babesia rodhaini	6929	Babesia rodhaini	5870
AB685182.1	381214299	Babesia gibsoni	5867	Babesia gibsoni	33632
AJ277126.1	15147717	Pilayella littoralis	58507	Pylaiella littoralis	2885
AP018919.1	1448321391	Goniomonas avonlea	41136	Goniomonas avonlea	1255295
AP019310.1	1601521829	Marophrys sp.	113062	Marophrys sp. SRT127	2488311
BK012089.1	2235892869	Phytophthora cinnamomi var. cinnamomi	39225	Phytophthora cinnamomi var. cinnamomi	622258
BK012094.1	2235893069	Phytophthora parasitica	37749	Phytophthora nicotianae CJ01A1	1317063
FJ168565.1	220682066	Hepatocystis sp. ex Pteropus hypomelanus	6259	Hepatocystis sp. ex Pteropus hypomelanus	587286
HQ908424.1	321401323	Pavlova lutheri	34086	Diacronema lutheri	2081491
JN378734.1	347801008	Endosymbiont of Kryptoperidinium foliaceum	39686	Kryptoperidinium foliaceum endosymbiont	1079369
JN378735.1	347800972	Endosymbiont of Durinskia baltica	35505	Durinskia baltica diatom endosymbiont	1079368
JQ071938.1	371572231	Gracilariopsis lemaneiformis	25883	Gracilariopsis lemaneiformis	2782
JQ736808.1	384034927	Porphyra haitanensis	37023	Pyropia haitanensis	1262161
KC573038.1	449327007	Capsaspora owczarzaki	196908	Capsaspora owczarzaki	192875
KF419217.1	546355158	Eimeria magna	6249	Eimeria magna	471282
KF515974.1	562816683	Pyropia perforata	40042	Pyropia perforata	182771
KF651061.1	557879697	Acavomonas peruviana	51109	Acavomonas peruviana	1542312
KJ398159.1	612407936	Ceramium japonicum	26200	Ceramothamnion japonicum	218448
KJ398160.1	612407963	Plocamium cartilagineum	26431	Plocamium cartilagineum	31452
KJ398161.1	612407988	Riquetophycus sp.	26351	Riquetophycus sp. HSY-2014a	1488470
KJ398162.1	612408013	Schimmelmannia schousboei	25906	Schimmelmannia schousboei	173468
KJ398163.1	612408037	Schizymenia dubyi	26438	Schizymenia dubyi	38368
KJ398164.1	612408062	Sebdenia flabellata	26767	Sebdenia flabellata	42024
KJ608414.1	645102652	Eimeria meleagrimitis	6165	Eimeria meleagrimitis	75738
KJ608415.1	645102675	Eimeria adenoeides	6211	Eimeria adenoeides	935273
KJ608416.1	645102699	Eimeria dispersa	6238	Eimeria dispersa	857748
KJ608417.1	645102729	Eimeria gallopavonis	6215	Eimeria gallopavonis	857749
KJ608418.1	645102749	Eimeria meleagridis	6212	Eimeria meleagridis	1431345
KM999231.1	725825069	Grateloupia taiwanensis	28906	Phyllymenia taiwanensis	1260292
KP009592.1	724471677	Eimeria intestinalis	6247	Eimeria intestinalis	471278
KP025690.1	733373021	Eimeria irresidua	6259	Eimeria irresidua	484792
KP025691.1	733373025	Eimeria media	6245	Eimeria media	471279
KP025692.1	733373029	Eimeria vejdovskyi	6240	Eimeria vejdovskyi	471284
KP025693.1	733373033	Eimeria flavescens	6258	Eimeria flavescens	471277
KU053956.1	1032562642	Coeloseira compressa	25391	Coeloseira compressa	1852973
KU145004.1	1041927673	Ceramium sungminbooi	24508	Campylaephora sungminbooi	1896769
KU356193.1	1002821328	Pyropia endiviifolia	34603	Pyropia endiviifolia	1699272
KX090647.1	1058278675	Nycteria gabonensis	5999	Nycteria gabonensis	1891980
KX090648.1	1058278679	Nycteria heischi	5989	Nycteria heischi	1891981
KX427229.1	1086927854	Gelidium crinale f. luxurians	24910	Pterocladiella luxurians	2909240
KX427234.1	1086927975	Pterocladiella media	24915	Pterocladiella media	1911541
KX427236.1	1086928023	Pterocladiella musciformis	24927	Pterocladiella musciformis	2699131
KX529838.1	1134378670	Laurentiella strenua	66721	Laurentiella strenua	114681
KY775056.1	1246290662	Protostelium mycophagum	48607	Protostelium mycophagum	472931
LC369600.1	1464100262	Ophirina amphinema	59094	Ophirina amphinema	2108040
LC537470.1	2156401020	Chaetoceros tenuissimus	36047	Chaetoceros tenuissimus	426638
LC600866.1	1955898040	Nitzschia putrida	35673	Nitzschia putrida	2742595
LC650202.1	2206592089	Actinophrys sol	53041	Actinophrys sol	238771
LC650807.1	2107899935	Neoporphyra dentata	26807	Pyropia dentata	76160
LC715210.1	2402694139	Microheliella maris	61620	Microheliella maris	1079982
LC761956.1	2527268375	Pyropia sp.	33268	Pyropia sp. Myanmar_A	3034857
LT578416.1	1113818506	Hyphochytrium catenoides	48127	Hyphochytrium catenoides	42384
MF401962.1	1226527300	Agarophyton chilense	26897	Agarophyton chilense	2510777
MF488959.1	1267528953	Lympha mucosa	25191	Lympha mucosa	2045360
MF508648.1	1327757042	Vannella croatica	28933	Vannella croatica	1778588
MF997419.1	1372147530	Entomoneis sp.	36078	Entomoneis sp.	186043
MF997423.1	1372147678	Surirella sp.	42867	Surirella sp.	1526603
MF997424.1	1372147719	Halamphora calidilacuna	103605	Halamphora calidilacuna	2133758
MG202006.1	1280963088	Colponema vietnamica	25333	Colponema vietnamica	1492817
MG202007.1	1280963112	Picobiliphyte sp.	49008	Picobiliphyte sp. MS584-11	1157699
MG592728.1	1386810545	Gracilaria tenuistipitata var. liui	25879	Gracilaria tenuistipitata var. liui	285951
MG787094.1	1353857561	Montagnia macrospora	24875	Montagnia macrospora	2662032
MG787097.1	1353857632	Paralemanea sp.	29785	Paralemanea sp.	2048601
MG922856.1	1377537870	Fucus spiralis	36396	Fucus spiralis	87149
MG940857.1	1682366079	Ishige okamurae	35485	Ishige okamurae	233772
MH094141.1	1394617481	Clydonella sawyeri	31131	Clydonella sawyeri	2201168
MH142315.1	1534885766	Peronospora effusa	41318	Peronospora effusa	542832
MH203050.1	1532335275	Klossiella equi	6569	Klossiella equi	2170311
MH281621.1	1510251524	Lithothamnion sp.	25605	Lithothamnion sp.	1940749
MH281622.1	1510251550	Renouxia sp.	30019	Renouxia sp.	2485823
MH281625.1	1510251624	Rhodogorgon sp.	30547	Rhodogorgon sp.	2485824
MH297491.1	1540310873	Nitzschia palea	37754	Nitzschia palea	303400
MH800316.1	1681061561	Proschkinia sp.	48863	Proschkinia sp. SZCZR1824	2588390
MH888186.1	1672732520	Pseudourostyla cristata	76660	Pseudourostyla cristata	293816
MK301177.1	1810665267	Gruberia lanceolata	39988	Gruberia lanceolata	1978530
MK695879.1	1772544182	Neopyropia yezoensis	41692	Pyropia yezoensis	2788
MN082145.1	1765884781	Telonemida sp.	42307	Telonemida sp.	2652706
MN564259.1	1792260850	Pavlova sp.	36202	Pavlova sp. NIVA-4/92	2686093
MN605892.1	1894457784	Babesia motasi	5946	Babesia motasi	237580
MN883605.1	1940379313	Phytophthora sp. novaeguinee	37072	Phytophthora novae-guineae	3070859
MN883607.1	1940379586	Phytophthora chlamydospora	38329	Phytophthora chlamydospora	1692154
MN912388.1	2209666639	Audouinella sp.	25411	Audouinella sp.	2927089
MT117917.1	1836274652	Pterocladia lucida	25257	Pterocladia lucida	31408
MT117919.1	1836274677	Pterocladiophila hemisphaerica	25486	Pterocladiophila hemisphaerica	2712948
MT471315.1	1939457674	Strombidium sp.	51232	Strombidium sp.	181122
MT588076.1	1863297219	Pyropia pulchra	33190	Pyropia pulchra	60925
MT665958.1	2025191223	Euplotes aediculatus	32335	Euplotes aediculatus	5940
MT742552.1	2072316717	Nitzschia anatoliensis	38186	Nitzschia anatoliensis	2862141
MT747832.1	2048286990	Phaeophyceae sp.	46315	Phaeophyceae sp.	2249243
MT845205.1	2126938963	Sargassum hemiphyllum var. chinense	34686	Sargassum hemiphyllum var. chinense	425012
MW357900.2	2444132518	Phymatolithon calcareum	28193	Phymatolithon calcareum	1277942
MW357901.2	2444132543	Lithothamnion corallioides	25959	Lithothamnion corallioides	1277934
MW413901.1	2074156086	Paralia sulcata	44095	Paralia sulcata	216927
MW413902.1	2074156125	Actinocyclus sp.	41135	Actinocyclus sp. mgcode 4	2914904
MW413903.1	2074156161	Stephanopyxis turris	37441	Stephanopyxis turris	515487
MW413904.1	2074156236	Guinardia striata	42073	Guinardia striata	1514137
MW413905.1	2074156200	Guinardia delicatula	34323	Guinardia delicatula	1244696
MW438345.1	1959386452	Aureococcus anophagefferens	42586	Aureococcus anophagefferens	44056
MW485976.1	2209194520	Silvetia siliquosa	36036	Silvetia siliquosa	93837
MW645081.1	2032566389	Haslea silbo	48658	Haslea silbo	1146997
MW648547.1	2240249467	Nothophytophthora sp.	38518	Nothophytophthora sp.	2853999
MW729336.1	2046217437	Attheya longicornis	39561	Attheya longicornis	451786
MW750196.1	2030205683	Neorhodomela munita	25318	Neorhodomela munita	1134036
MW810348.1	2043521581	Erythrocystis saccata	24975	Erythrocystis saccata	2822695
MW822750.1	2072933218	Porphyra crispata	39469	Porphyra crispata	671081
MW849263.1	2073952984	Nitzschia ovalis	57953	Nitzschia ovalis	908985
MW849269.1	2073953246	Nitzschia traheaformis	53480	Nitzschia traheaformis	1881117
MW849271.1	2073953334	Lithodesmioides sp.	35174	Lithodesmioides sp. mgcode 4	2914905
MW861541.1	2076000669	Pleurosigma sp.	39205	Pleurosigma sp. mgcode 4	2914906
MW971521.1	2059418728	Nitzschia inconspicua	69503	Nitzschia inconspicua	303405
MZ156045.1	2049954671	Akkesiphycus lubricus	39330	Akkesiphycus lubricus	3022
MZ156046.1	2049954710	Hedophyllum nigripes	52071	Hedophyllum nigripes	2724434
MZ156048.1	2049954803	Ecklonia arborea	39843	Ecklonia arborea	1849970
MZ156049.1	2049954843	Arthrothamnus bifidus	38790	Arthrothamnus bifidus	169778
MZ156050.1	2049954882	Chorda asiatica	41788	Chorda asiatica	1281577
MZ156051.1	2049954923	Cymathaere triplicata	37998	Cymathaere triplicata	309354
MZ156052.1	2049954962	Desmarestia aculeata	40822	Desmarestia aculeata	62298
MZ156053.1	2049955002	Dictyoneurum californicum	37840	Dictyoneurum californicum	169784
MZ156054.1	2049955041	Ecklonia radicosa	37577	Ecklonia radicosa	169786
MZ156055.1	2049955080	Laminaria ephemera	37929	Laminaria ephemera	309364
MZ156057.1	2049955158	Lessonia variegata	38709	Lessonia variegata	549686
MZ156058.1	2049955198	Pelagophycus porra	37465	Pelagophycus porra	50953
MZ156059.1	2049955237	Pleurophycus gardneri	39142	Pleurophycus gardneri	309362
MZ156060.1	2049955276	Postelsia palmaeformis	37455	Postelsia palmaeformis	105414
MZ156061.1	2049955315	Pterygophora californica	38715	Pterygophora californica	169782
