AN	GI	Species	Genome_length	ncbi_name	ncbi_taxid
AP012291.1	2307993392	Halimeda borneensis	95861	Halimeda borneensis	170407
AP014542.1	1995282327	Rhipidosiphon lewmanomontiae	89270	Rhipidosiphon lewmanomontiae	948799
AP014543.1	1995282413	Poropsis sp.	86483	Poropsis sp. ID1_4	1449749
AP018038.1	1393710749	Raphidocelis subcapitata	128080	Raphidocelis subcapitata	307507
AP018696.1	1392939311	Ulva ohnoi 	103313	Ulva ohnoi	240864
KF554427.1	556522852	Chlorella sp.	119989	Chlorella sp. ArM0029B	1415603
KJ746597.1	659680495	Prasinococcus sp. 	85590	Prasinococcus sp. CCMP1194	110672
KM462862.1	698347906	Prasiolopsis sp. 	306152	Prasiolopsis wulf-kochii	3239232
KM462870.1	698348611	Marsupiomonas sp.	94262	Marsupiomonas sp. NIES 1824	1562198
KP271969.1	760173399	Chlorella variabilis	124793	Chlorella variabilis	554065
KT625419.1	953273084	Carteria sp.	180596	Carteria sp. SAG 8-5	1756294
KT713390.1	1023491549	Chaetopeltidales sp. minicircle 1	95932	Koshicola spirodelophila	1707787
KT713391.1	1023491569	Chaetopeltidales sp.  minicircle 2	93919	Koshicola spirodelophila	1707787
KT713392.1	1023491579	Chaetopeltidales sp. minicircle 3	195044	Koshicola spirodelophila	1707787
KU167097.1	1004605336	Tetraselmis sp. 	100264	Tetraselmis sp. CCMP 881	1812852
KX131180.1	1090895397	Hariotina sp.	210757	Hariotina sp. MMOGRB0030F	1867922
KX306821.1	1052423652	Rhexinema sarcinoideum 	262888	Rhexinema sarcinoideum	43261
KX306824.1	1052423830	Gloeotilopsis planctonica 	221431	Gloeotilopsis planctonica	34157
KX756229.1	1240946771	Tetradesmus obliquus 	167272	Tetradesmus obliquus	3088
KX809677.1	1192790251	Caulerpa okamurae 	148274	Caulerpa okamurae	118247
KY407656.1	1185542934	Sarcinofilum mucosum 	227181	Sarcinofilum mucosum	141643
LC523992.1	1952944485	Astrephomene gubernaculifera	414859	Astrephomene gubernaculifera	47775
MG778533.1	1509779140	Uronema sp.	198471	Uronema sp. CCAP 334/1	764121
MG797569.1	1497454588	Caulerpa cupressoides 	130895	Caulerpa cupressoides	148945
MH161344.1	1851762454	Eudorina elegans 	235030	Eudorina elegans	47282
MH591113.1	1482686517	Udotea sp. 	90749	Udotea sp. TZ0819	2364085
MH983006.1	1691371982	Micractinium sp.	109688	Micractinium sp. LBA 32	1759591
MK085996.1	1609443176	Chloroparvula sp. 	70736	Chloroparvula sp. RCC4572	2565274
