AN	GI	Species	Genome_length	ncbi_name	ncbi_taxid
AJ294725.1	12329875	Astasia longa	73345	Euglena longa	3037
AP018129.2	1824615466	Grateloupia asiatica	187517	Grateloupia asiatica	151735
AP025529.1	2310847502	Galdieria partita	167641	Galdieria partita	83374
JN039300.1	339433850	Karlodinium veneficum	142981	Karlodinium veneficum	407301
JN643723.2	459936601	Eutreptia viridis	65523	Eutreptia viridis	96908
JN674636.2	480512001	Colacium vesiculosum	128892	Colacium vesiculosum	102910
JN674637.1	363399160	Strombomonas acuminata	144166	Strombomonas acuminata	201859
JX297813.1	403225131	Pelagomonas sp. 	91306	uncultured Pelagomonas	660917
KC517072.1	465483065	Pyropia yezoensis	191975	Pyropia yezoensis	2788
KF438023.1	553832027	Lotharella sp.	70997	Lotharella oceanica	641309
KJ201907.2	998453970	Chrysochromulina sp.	104518	Chrysochromulina tobinii	1460289
KJ776836.1	636744894	Pyropia kanakaensis	189931	Pyropia kanakaensis	139729
KJ776837.1	636745101	Pyropia fucicola	187282	Pyropia fucicola	144551
KJ877675.1	679091872	Ochromonas sp.	126746	Ochromonas sp. CCMP1393	420556
KJ958481.1	691190018	Cyclotella sp.	129498	Cyclotella sp. WC03_2	1549164
KP686076.1	830260406	Euglena gracilis var. bacillaris	132034	Euglena gracilis var. bacillaris	158060
KP714733.1	816375071	Bangia fuscopurpurea	196913	Bangia fuscopurpurea	101920
KR921747.1	955665390	Phacus orbicularis	65992	Phacus orbicularis	158829
KT188823.1	999812328	Sargassum vachellianum	124582	Sargassum vachellianum	1155129
KT223519.1	985482797	Euglena mutabilis	86975	Euglena mutabilis	38275
KT266789.1	999812006	Pyropia pulchra	194175	Pyropia pulchra	60925
KT716756.1	944544293	Pyropia endiviifolia	195784	Pyropia endiviifolia	1699272
KX284710.1	1062594610	Riquetophycus sp.	180384	Riquetophycus sp.	1897556
KX284728.3	2152166944	Rhodochaete parvula	221671	Rhodochaete parvula	110510
KX601051.1	1127352649	Crassa firma	187001	Gracilaria firma	2510791
KX839260.1	1081699300	Monodopsis sp.	124999	Monodopsis sp. MarTras21	1745953
KY499654.1	1268890791	Gomphoneis minuta var. cassieae	119630	Gomphoneis minuta var. cassieae	1142141
KY706202.1	1229242616	Eutreptiella pomquetensis	130561	Eutreptiella pomquetensis	215699
KY709210.1	1190064879	Corynoplastis japonica	1127474	Corynoplastis japonica	700918
KY709211.1	1190065049	Flintiella sanguinaria	370672	Flintiella sanguinaria	101926
KY856940.1	1226042244	Storeatula sp.	140953	Storeatula sp. CCMP1868	195070
KY860574.1	1236762800	Chroomonas mesostigmatica	139403	Chroomonas mesostigmatica CCMP1168	1195612
LC521919.1	1815645073	Pyropia dentata	192266	Pyropia dentata	76160
LC564893.1	1941608488	Haptophyceae sp.	109550	Haptophyceae sp. NIES-3900	2748608
LC580440.1	1900240487	Pteridomonas sp.	54809	Pteridomonas sp. YPF1301	2766739
LC648950.1	2176617007	Cryptomonas borealis	161036	Cryptomonas borealis	233190
LC648953.1	2176617577	Cryptomonas tetrapyrenoidosa	132527	Cryptomonas tetrapyrenoidosa	233185
LC648955.1	2176617922	Chroomonas collegionis	137219	Chroomonas collegionis	2867499
